OrderNumber,OrderDate,Customer Name Index,Channel,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Revenue,Total Unit Cost
SO - 0002231,19-01-2014,22,Wholesale,GUT930,44,8,5,3437.1,17185.5,1615.44
SO - 0002232,19-01-2014,4,Wholesale,AXW291,16,5,9,3852.5,34672.5,2581.18
SO - 0002233,19-01-2014,6,Wholesale,FLR025,64,8,8,1989.9,15919.2,1552.12
SO - 0002234,20-01-2014,23,Distributor,AXW291,23,11,6,1118.9,6713.4,827.99
SO - 0002235,20-01-2014,40,Distributor,GUT930,44,11,11,1092.1,12013.1,709.87
SO - 0002236,20-01-2014,29,Export,NXH382,54,1,8,2405.3,19242.4,1154.54
SO - 0002237,20-01-2014,4,Wholesale,GUT930,43,14,10,1038.5,10385,446.56
SO - 0002238,20-01-2014,21,Wholesale,AXW291,17,6,7,1031.8,7222.6,546.85
SO - 0002239,20-01-2014,29,Distributor,AXW291,28,12,12,2532.6,30391.2,1443.58
SO - 0002240,20-01-2014,31,Distributor,AXW291,25,13,10,2552.7,25527,1557.15
SO - 0002241,21-01-2014,9,Export,NXH382,49,1,10,1802.3,18023,829.06
SO - 0002242,21-01-2014,40,Distributor,NXH382,58,9,6,1085.4,6512.4,694.66
SO - 0002243,21-01-2014,35,Distributor,FLR025,66,13,11,3363.4,36997.4,2354.38
SO - 0002244,21-01-2014,32,Wholesale,GUT930,35,7,8,5701.7,45613.6,2280.68
SO - 0002245,21-01-2014,6,Wholesale,FLR025,64,1,9,174.2,1567.8,125.42
SO - 0002246,22-01-2014,11,Distributor,AXW291,31,2,11,1065.3,11718.3,671.14
SO - 0002247,22-01-2014,46,Export,NXH382,50,8,8,1105.5,8844,928.62
SO - 0002248,22-01-2014,40,Wholesale,FLR025,63,7,6,167.5,1005,108.88
SO - 0002249,22-01-2014,24,Distributor,NXH382,54,2,11,3752,41272,3001.6
SO - 0002250,22-01-2014,41,Wholesale,NXH382,51,9,8,703.5,5628,576.87
SO - 0002251,22-01-2014,19,Distributor,GUT930,32,2,5,1795.6,8978,772.11
SO - 0002252,23-01-2014,45,Wholesale,AXW291,10,13,8,3899.4,31195.2,2300.65
SO - 0002253,23-01-2014,48,Export,AXW291,24,6,9,991.6,8924.4,803.2
SO - 0002254,23-01-2014,13,Wholesale,FLR025,65,13,6,2539.3,15235.8,1193.47
SO - 0002255,23-01-2014,34,Export,GUT930,43,2,8,1051.9,8415.2,704.77
SO - 0002256,24-01-2014,24,Wholesale,GUT930,32,4,6,911.2,5467.2,501.16
SO - 0002257,24-01-2014,2,Wholesale,AXW291,6,11,12,3912.8,46953.6,3325.88
SO - 0002258,24-01-2014,48,Wholesale,NXH382,57,8,8,998.3,7986.4,708.79
SO - 0002259,24-01-2014,2,Wholesale,AXW291,3,11,12,1031.8,12381.6,433.36
SO - 0002260,24-01-2014,10,Distributor,AXW291,27,13,5,2753.7,13768.5,1459.46
SO - 0002261,24-01-2014,36,Wholesale,AXW291,14,11,9,234.5,2110.5,143.05
SO - 0002262,24-01-2014,35,Wholesale,AXW291,8,7,8,1132.3,9058.4,702.03
SO - 0002263,25-01-2014,37,Wholesale,GUT930,40,2,10,978.2,9782,449.97
SO - 0002264,25-01-2014,26,Wholesale,FLR025,65,7,7,2619.7,18337.9,1938.58
SO - 0002265,25-01-2014,33,Wholesale,AXW291,4,7,11,1078.7,11865.7,528.56
SO - 0002266,25-01-2014,16,Wholesale,AXW291,6,7,6,1829.1,10974.6,804.8
SO - 0002267,26-01-2014,42,Wholesale,AXW291,27,2,12,1038.5,12462,508.87
SO - 0002268,26-01-2014,31,Wholesale,GUT930,45,1,8,3946.3,31570.4,1894.22
SO - 0002269,26-01-2014,24,Wholesale,NXH382,53,9,8,5299.7,42397.6,2596.85
SO - 0002270,26-01-2014,37,Wholesale,GUT930,37,1,6,2365.1,14190.6,1442.71
SO - 0002271,27-01-2014,6,Export,AXW291,9,2,6,268,1608,120.6
SO - 0002272,27-01-2014,22,Distributor,AXW291,25,9,12,1139,13668,785.91
SO - 0002273,27-01-2014,19,Wholesale,AXW291,27,7,9,1139,10251,751.74
SO - 0002274,27-01-2014,13,Export,FLR025,64,1,7,247.9,1735.3,148.74
SO - 0002275,27-01-2014,14,Distributor,GUT930,35,3,12,3926.2,47114.4,1806.05
SO - 0002276,27-01-2014,8,Export,GUT930,40,7,12,938,11256,712.88
SO - 0002277,28-01-2014,44,Distributor,NXH382,54,3,10,3718.5,37185,2417.03
SO - 0002278,28-01-2014,50,Wholesale,NXH382,51,7,6,2472.3,14833.8,1335.04
SO - 0002279,28-01-2014,21,Wholesale,AXW291,18,7,9,5601.2,50410.8,3080.66
SO - 0002280,28-01-2014,39,Wholesale,AXW291,5,1,11,3959.7,43556.7,1861.06
SO - 0002281,28-01-2014,1,Distributor,AXW291,28,7,7,1802.3,12616.1,720.92
SO - 0002282,28-01-2014,39,Wholesale,AXW291,6,2,9,2418.7,21768.3,1596.34
SO - 0002283,28-01-2014,37,Wholesale,AXW291,8,2,6,1299.8,7798.8,1065.84
SO - 0002284,28-01-2014,4,Wholesale,AXW291,31,1,8,1118.9,8951.2,682.53
SO - 0002285,29-01-2014,29,Distributor,NXH382,53,2,6,3932.9,23597.4,1573.16
SO - 0002286,29-01-2014,2,Wholesale,GUT930,38,11,5,221.1,1105.5,95.07
SO - 0002287,30-01-2014,24,Distributor,AXW291,6,11,10,187.6,1876,93.8
SO - 0002288,30-01-2014,34,Export,AXW291,28,7,11,2244.5,24689.5,1324.26
SO - 0002289,30-01-2014,35,Wholesale,GUT930,38,5,8,2432.1,19456.8,1799.75
SO - 0002290,30-01-2014,7,Distributor,GUT930,41,7,6,6298,37788,3337.94
SO - 0002291,30-01-2014,3,Wholesale,AXW291,12,2,10,2271.3,22713,1476.35
SO - 0002292,30-01-2014,25,Distributor,NXH382,53,13,6,3979.8,23878.8,2785.86
SO - 0002293,30-01-2014,36,Wholesale,GUT930,46,9,12,241.2,2894.4,166.43
SO - 0002294,30-01-2014,44,Distributor,GUT930,42,9,11,1098.8,12086.8,439.52
SO - 0002295,31-01-2014,34,Wholesale,AXW291,8,1,5,2331.6,11658,1468.91
SO - 0002296,31-01-2014,18,Distributor,AXW291,15,13,5,2934.6,14673,2406.37
SO - 0002297,31-01-2014,12,Wholesale,FLR025,60,2,5,1788.9,8944.5,1377.45
SO - 0002298,31-01-2014,13,Wholesale,NXH382,53,9,7,3075.3,21527.1,2583.25
SO - 0002299,31-01-2014,45,Wholesale,GUT930,32,7,5,2257.9,11289.5,1422.48
SO - 0002300,31-01-2014,44,Distributor,NXH382,54,5,11,971.5,10686.5,612.05
SO - 0002301,01-02-2014,24,Distributor,AXW291,25,8,6,3705.1,22230.6,2482.42
SO - 0002302,01-02-2014,25,Export,NXH382,60,5,5,241.2,1206,110.95
SO - 0002303,01-02-2014,31,Wholesale,FLR025,64,7,8,3953,31624,2529.92
SO - 0002304,02-02-2014,30,Distributor,AXW291,17,7,7,844.2,5909.4,337.68
SO - 0002305,02-02-2014,39,Distributor,GUT930,45,2,11,2633.1,28964.1,1737.85
SO - 0002306,02-02-2014,15,Export,AXW291,31,4,10,1701.8,17018,1412.49
SO - 0002307,02-02-2014,17,Export,AXW291,3,5,11,167.5,1842.5,78.73
SO - 0002308,02-02-2014,23,Distributor,FLR025,63,5,6,2378.5,14271,1236.82
SO - 0002309,02-02-2014,27,Wholesale,AXW291,3,2,12,1078.7,12944.4,733.52
SO - 0002310,02-02-2014,17,Wholesale,AXW291,13,2,11,2452.2,26974.2,1888.19
SO - 0002311,02-02-2014,25,Wholesale,NXH382,47,7,7,1922.9,13460.3,1519.09
SO - 0002312,02-02-2014,15,Wholesale,GUT930,46,7,7,6224.3,43570.1,3859.07
SO - 0002313,03-02-2014,10,Wholesale,NXH382,49,11,11,1876,20636,994.28
SO - 0002314,03-02-2014,4,Wholesale,GUT930,35,8,5,6304.7,31523.5,2774.07
SO - 0002315,03-02-2014,17,Wholesale,GUT930,43,7,5,964.8,4824,569.23
SO - 0002316,03-02-2014,43,Wholesale,AXW291,21,2,11,3611.3,39724.3,2780.7
SO - 0002317,03-02-2014,31,Wholesale,NXH382,55,7,5,1005,5025,633.15
SO - 0002318,04-02-2014,38,Wholesale,GUT930,41,7,9,2793.9,25145.1,1201.38
SO - 0002319,04-02-2014,34,Wholesale,GUT930,31,13,6,850.9,5105.4,646.68
SO - 0002320,04-02-2014,44,Distributor,NXH382,49,2,5,2278,11390,1913.52
SO - 0002321,04-02-2014,33,Export,AXW291,7,1,11,1092.1,12013.1,655.26
SO - 0002322,04-02-2014,33,Wholesale,AXW291,29,7,11,6505.7,71562.7,3578.14
SO - 0002323,05-02-2014,13,Distributor,AXW291,24,14,10,1125.6,11256,495.26
SO - 0002324,05-02-2014,25,Export,AXW291,17,7,9,1165.8,10492.2,559.58
SO - 0002325,06-02-2014,47,Wholesale,AXW291,18,5,12,978.2,11738.4,674.96
SO - 0002326,06-02-2014,31,Wholesale,AXW291,10,7,9,3035.1,27315.9,1578.25
SO - 0002327,06-02-2014,7,Export,NXH382,58,7,10,214.4,2144,167.23
SO - 0002328,06-02-2014,44,Wholesale,FLR025,66,7,6,1125.6,6753.6,709.13
SO - 0002329,06-02-2014,3,Distributor,AXW291,28,6,7,5567.7,38973.9,3284.94
SO - 0002330,06-02-2014,40,Wholesale,NXH382,51,7,5,167.5,837.5,70.35
SO - 0002331,06-02-2014,18,Wholesale,AXW291,2,6,6,1822.4,10934.4,1111.66
SO - 0002332,06-02-2014,6,Wholesale,NXH382,51,1,8,5983.1,47864.8,2632.56
SO - 0002333,06-02-2014,37,Distributor,NXH382,49,13,7,1802.3,12616.1,1135.45
SO - 0002334,06-02-2014,36,Wholesale,AXW291,5,12,7,3939.6,27577.2,2481.95
SO - 0002335,07-02-2014,50,Wholesale,GUT930,38,7,5,676.7,3383.5,311.28
SO - 0002336,07-02-2014,20,Distributor,AXW291,2,7,9,3457.2,31114.8,1452.02
SO - 0002337,07-02-2014,29,Distributor,AXW291,31,7,6,5681.6,34089.6,4658.91
SO - 0002338,07-02-2014,23,Wholesale,GUT930,45,2,11,254.6,2800.6,178.22
SO - 0002339,08-02-2014,14,Wholesale,GUT930,46,10,10,3879.3,38793,2831.89
SO - 0002340,08-02-2014,16,Export,AXW291,9,2,5,3289.7,16448.5,1776.44
SO - 0002341,08-02-2014,38,Distributor,AXW291,4,9,8,227.8,1822.4,104.79
SO - 0002342,08-02-2014,13,Distributor,GUT930,33,7,11,3685,40535,1731.95
SO - 0002343,08-02-2014,3,Wholesale,NXH382,47,9,12,3832.4,45988.8,1724.58
SO - 0002344,08-02-2014,31,Distributor,NXH382,58,11,12,221.1,2653.2,181.3
SO - 0002345,09-02-2014,9,Wholesale,GUT930,45,1,12,1922.9,23074.8,1172.97
SO - 0002346,09-02-2014,13,Distributor,AXW291,24,1,10,984.9,9849,453.05
SO - 0002347,09-02-2014,27,Distributor,AXW291,16,1,5,1159.1,5795.5,776.6
SO - 0002348,10-02-2014,1,Distributor,AXW291,17,7,9,261.3,2351.7,143.72
SO - 0002349,10-02-2014,38,Distributor,NXH382,59,2,7,1688.4,11818.8,1181.88
SO - 0002350,10-02-2014,23,Distributor,NXH382,58,11,12,884.4,10612.8,486.42
SO - 0002351,10-02-2014,11,Wholesale,AXW291,31,11,8,797.3,6378.4,621.89
SO - 0002352,10-02-2014,17,Distributor,GUT930,33,5,5,1139,5695,626.45
SO - 0002353,10-02-2014,3,Distributor,GUT930,41,11,10,1822.4,18224,1457.92
SO - 0002354,10-02-2014,4,Distributor,GUT930,40,5,6,2278,13668,1344.02
SO - 0002355,10-02-2014,3,Distributor,NXH382,52,5,6,167.5,1005,120.6
SO - 0002356,10-02-2014,47,Wholesale,AXW291,19,2,12,683.4,8200.8,512.55
SO - 0002357,10-02-2014,3,Distributor,AXW291,22,13,12,1011.7,12140.4,748.66
SO - 0002358,10-02-2014,49,Wholesale,AXW291,30,2,10,2479,24790,1512.19
SO - 0002359,11-02-2014,1,Export,GUT930,36,1,5,2726.9,13634.5,1881.56
SO - 0002360,11-02-2014,17,Wholesale,AXW291,22,12,7,1118.9,7832.3,906.31
SO - 0002361,11-02-2014,11,Wholesale,GUT930,33,2,5,1279.7,6398.5,1010.96
SO - 0002362,11-02-2014,25,Wholesale,AXW291,19,10,8,3919.5,31356,3292.38
SO - 0002363,11-02-2014,33,Wholesale,AXW291,13,1,6,1855.9,11135.4,835.16
SO - 0002364,11-02-2014,7,Export,AXW291,5,9,7,1849.2,12944.4,1423.88
SO - 0002365,11-02-2014,46,Distributor,AXW291,22,13,5,5272.9,26364.5,2636.45
SO - 0002366,12-02-2014,21,Wholesale,NXH382,56,11,11,194.3,2137.3,141.84
SO - 0002367,12-02-2014,9,Distributor,GUT930,41,1,12,1038.5,12462,643.87
SO - 0002368,12-02-2014,5,Distributor,NXH382,50,5,11,5279.6,58075.6,2375.82
SO - 0002369,12-02-2014,45,Wholesale,GUT930,45,13,8,3705.1,29640.8,2111.91
SO - 0002370,12-02-2014,13,Export,NXH382,58,1,8,194.3,1554.4,101.04
SO - 0002371,12-02-2014,27,Wholesale,GUT930,43,11,7,1098.8,7691.6,879.04
SO - 0002372,13-02-2014,27,Wholesale,GUT930,44,13,9,1762.1,15858.9,1409.68
SO - 0002373,13-02-2014,9,Export,AXW291,17,7,8,174.2,1393.6,101.04
SO - 0002374,13-02-2014,40,Wholesale,GUT930,32,6,8,2525.9,20207.2,1591.32
SO - 0002375,13-02-2014,50,Wholesale,FLR025,62,7,6,1876,11256,1256.92
SO - 0002376,13-02-2014,3,Export,GUT930,41,7,5,897.8,4489,718.24
SO - 0002377,13-02-2014,5,Export,AXW291,9,14,9,844.2,7597.8,455.87
SO - 0002378,14-02-2014,42,Wholesale,NXH382,58,7,5,3932.9,19664.5,2202.42
SO - 0002379,14-02-2014,39,Wholesale,AXW291,3,6,5,3999.9,19999.5,2519.94
SO - 0002380,14-02-2014,17,Wholesale,NXH382,53,8,7,964.8,6753.6,820.08
SO - 0002381,14-02-2014,33,Wholesale,AXW291,24,1,7,1976.5,13835.5,1462.61
SO - 0002382,14-02-2014,9,Wholesale,AXW291,8,11,7,978.2,6847.4,401.06
SO - 0002383,15-02-2014,50,Wholesale,NXH382,49,9,5,3778.8,18894,3023.04
SO - 0002384,15-02-2014,17,Wholesale,NXH382,47,5,8,1165.8,9326.4,967.61
SO - 0002385,15-02-2014,4,Wholesale,FLR025,66,2,11,1152.4,12676.4,887.35
SO - 0002386,16-02-2014,46,Wholesale,AXW291,26,1,10,1045.2,10452,522.6
SO - 0002387,16-02-2014,44,Wholesale,GUT930,38,13,5,6385.1,31925.5,3767.21
SO - 0002388,16-02-2014,31,Wholesale,AXW291,30,11,8,2686.7,21493.6,1423.95
SO - 0002389,16-02-2014,35,Distributor,AXW291,19,11,5,6277.9,31389.5,3201.73
SO - 0002390,16-02-2014,49,Wholesale,AXW291,21,5,8,1159.1,9272.8,857.73
SO - 0002391,16-02-2014,12,Export,NXH382,50,1,11,1118.9,12307.9,671.34
SO - 0002392,17-02-2014,3,Wholesale,AXW291,17,12,10,1340,13400,844.2
SO - 0002393,17-02-2014,46,Distributor,AXW291,4,11,7,2331.6,16321.2,1841.96
SO - 0002394,17-02-2014,43,Export,GUT930,41,4,10,2425.4,24254,1406.73
SO - 0002395,17-02-2014,10,Distributor,AXW291,11,13,8,1092.1,8736.8,688.02
SO - 0002396,17-02-2014,36,Export,AXW291,17,1,7,917.9,6425.3,614.99
SO - 0002397,17-02-2014,34,Wholesale,GUT930,36,11,11,207.7,2284.7,85.16
SO - 0002398,18-02-2014,32,Wholesale,AXW291,1,13,12,1996.6,23959.2,1637.21
SO - 0002399,18-02-2014,2,Distributor,NXH382,50,7,6,234.5,1407,103.18
SO - 0002400,18-02-2014,49,Export,AXW291,31,7,10,1005,10050,693.45
SO - 0002401,18-02-2014,46,Wholesale,AXW291,14,6,8,5487.3,43898.4,4060.6
SO - 0002402,18-02-2014,12,Wholesale,AXW291,22,3,6,5976.4,35858.4,3585.84
SO - 0002403,19-02-2014,25,Distributor,AXW291,4,14,12,884.4,10612.8,619.08
SO - 0002404,19-02-2014,44,Wholesale,AXW291,5,2,9,6157.3,55415.7,4802.69
SO - 0002405,19-02-2014,23,Wholesale,AXW291,4,2,7,964.8,6753.6,694.66
SO - 0002406,19-02-2014,50,Distributor,FLR025,62,11,10,3892.7,38927,1557.08
SO - 0002407,19-02-2014,12,Wholesale,AXW291,3,7,9,227.8,2050.2,179.96
SO - 0002408,19-02-2014,44,Wholesale,FLR025,65,5,6,1340,8040,991.6
SO - 0002409,19-02-2014,6,Wholesale,AXW291,2,7,9,1105.5,9949.5,773.85
SO - 0002410,20-02-2014,18,Distributor,AXW291,23,2,11,1058.6,11644.6,624.57
SO - 0002411,20-02-2014,23,Distributor,AXW291,15,8,6,5695,34170,2619.7
SO - 0002412,20-02-2014,31,Wholesale,GUT930,33,5,6,1058.6,6351.6,719.85
SO - 0002413,20-02-2014,47,Wholesale,GUT930,44,9,8,1105.5,8844,475.37
SO - 0002414,20-02-2014,46,Distributor,AXW291,9,5,10,1045.2,10452,553.96
SO - 0002415,20-02-2014,45,Distributor,FLR025,60,2,9,1768.8,15919.2,1061.28
SO - 0002416,20-02-2014,8,Wholesale,AXW291,27,5,9,804,7236,393.96
SO - 0002417,20-02-2014,44,Export,AXW291,11,13,5,241.2,1206,101.3
SO - 0002418,21-02-2014,35,Export,AXW291,6,5,7,3953,27671,2292.74
SO - 0002419,22-02-2014,5,Wholesale,NXH382,59,11,8,6036.7,48293.6,3078.72
SO - 0002420,22-02-2014,16,Export,AXW291,17,2,11,6197.5,68172.5,4338.25
SO - 0002421,22-02-2014,27,Distributor,GUT930,36,7,10,6472.2,64722,3818.6
SO - 0002422,22-02-2014,32,Wholesale,GUT930,36,1,5,2814,14070,1463.28
SO - 0002423,22-02-2014,36,Wholesale,AXW291,11,2,8,221.1,1768.8,168.04
SO - 0002424,22-02-2014,15,Wholesale,NXH382,53,11,11,2257.9,24836.9,1670.85
SO - 0002425,23-02-2014,15,Distributor,FLR025,66,1,10,3946.3,39463,1973.15
SO - 0002426,23-02-2014,21,Distributor,AXW291,4,11,11,268,2948,227.8
SO - 0002427,23-02-2014,18,Wholesale,AXW291,6,11,9,6499,58491,4549.3
SO - 0002428,23-02-2014,32,Wholesale,NXH382,55,8,7,938,6566,515.9
SO - 0002429,24-02-2014,33,Wholesale,NXH382,52,7,9,938,8442,450.24
SO - 0002430,24-02-2014,20,Wholesale,AXW291,23,9,11,1145.7,12602.7,595.76
SO - 0002431,24-02-2014,24,Wholesale,GUT930,43,2,10,1065.3,10653,671.14
SO - 0002432,24-02-2014,16,Distributor,AXW291,11,1,7,3906.1,27342.7,1562.44
SO - 0002433,24-02-2014,38,Wholesale,FLR025,65,7,12,3845.8,46149.6,2922.81
SO - 0002434,25-02-2014,47,Wholesale,AXW291,22,7,10,3845.8,38458,2922.81
SO - 0002435,25-02-2014,29,Wholesale,AXW291,6,7,8,1031.8,8254.4,443.67
SO - 0002436,25-02-2014,7,Distributor,FLR025,60,9,11,3859.2,42451.2,1736.64
SO - 0002437,25-02-2014,13,Distributor,NXH382,58,1,7,1092.1,7644.7,589.73
SO - 0002438,25-02-2014,44,Distributor,GUT930,41,5,12,877.7,10532.4,684.61
SO - 0002439,25-02-2014,33,Distributor,GUT930,46,5,8,1775.5,14204,1047.55
SO - 0002440,26-02-2014,18,Wholesale,FLR025,64,13,11,3859.2,42451.2,3241.73
SO - 0002441,26-02-2014,20,Export,AXW291,16,5,9,2539.3,22853.7,1295.04
SO - 0002442,26-02-2014,18,Distributor,AXW291,4,2,9,2304.8,20743.2,1936.03
SO - 0002443,26-02-2014,48,Wholesale,FLR025,61,1,7,254.6,1782.2,168.04
SO - 0002444,26-02-2014,32,Wholesale,NXH382,56,1,5,917.9,4589.5,440.59
SO - 0002445,26-02-2014,15,Distributor,AXW291,13,2,11,1005,11055,814.05
SO - 0002446,27-02-2014,36,Export,NXH382,48,11,8,1715.2,13721.6,891.9
SO - 0002447,27-02-2014,43,Export,GUT930,45,11,8,241.2,1929.6,106.13
SO - 0002448,27-02-2014,5,Distributor,GUT930,42,2,10,3953,39530,2569.45
SO - 0002449,28-02-2014,30,Wholesale,AXW291,2,1,7,1145.7,8019.9,641.59
SO - 0002450,28-02-2014,47,Export,FLR025,64,11,7,991.6,6941.2,664.37
SO - 0002451,28-02-2014,6,Wholesale,FLR025,60,5,6,3946.3,23677.8,2012.61
SO - 0002452,28-02-2014,41,Wholesale,AXW291,16,3,5,1132.3,5661.5,871.87
SO - 0002453,28-02-2014,11,Export,GUT930,33,7,5,1072,5360,696.8
SO - 0002454,28-02-2014,50,Distributor,NXH382,58,1,10,938,9380,450.24
SO - 0002455,28-02-2014,16,Wholesale,AXW291,30,7,7,1058.6,7410.2,529.3
SO - 0002456,01-03-2014,17,Wholesale,FLR025,66,7,12,5406.9,64882.8,2216.83
SO - 0002457,01-03-2014,26,Distributor,AXW291,16,5,5,5514.1,27570.5,4025.29
SO - 0002458,01-03-2014,36,Wholesale,NXH382,58,4,6,2452.2,14713.2,1422.28
SO - 0002459,01-03-2014,28,Distributor,AXW291,7,11,12,3979.8,47757.6,2706.26
SO - 0002460,01-03-2014,34,Wholesale,AXW291,24,1,7,6371.7,44601.9,5288.51
SO - 0002461,01-03-2014,27,Export,AXW291,30,7,12,3852.5,46230,1541
SO - 0002462,01-03-2014,38,Distributor,GUT930,41,1,8,2968.1,23744.8,2433.84
SO - 0002463,01-03-2014,21,Export,FLR025,62,11,11,6378.4,70162.4,3252.98
SO - 0002464,01-03-2014,21,Wholesale,FLR025,60,11,8,1165.8,9326.4,804.4
SO - 0002465,02-03-2014,31,Wholesale,NXH382,60,7,10,1085.4,10854,586.12
SO - 0002466,02-03-2014,44,Wholesale,AXW291,11,8,9,2485.7,22371.3,994.28
SO - 0002467,03-03-2014,9,Distributor,NXH382,58,7,5,2472.3,12361.5,1161.98
SO - 0002468,03-03-2014,4,Wholesale,GUT930,45,13,8,1983.2,15865.6,1348.58
SO - 0002469,03-03-2014,13,Distributor,AXW291,6,11,10,1031.8,10318,660.35
SO - 0002470,04-03-2014,24,Distributor,AXW291,21,7,6,1748.7,10492.2,786.92
SO - 0002471,04-03-2014,10,Wholesale,GUT930,35,13,9,2680,24120,2090.4
SO - 0002472,04-03-2014,39,Wholesale,GUT930,42,9,6,5179.1,31074.6,4246.86
SO - 0002473,04-03-2014,5,Distributor,NXH382,47,5,8,2398.6,19188.8,1918.88
SO - 0002474,05-03-2014,17,Wholesale,AXW291,20,14,5,1762.1,8810.5,1215.85
SO - 0002475,05-03-2014,36,Distributor,AXW291,20,2,9,5628,50652,4333.56
SO - 0002476,05-03-2014,8,Wholesale,AXW291,28,2,11,5272.9,58001.9,3480.11
SO - 0002477,05-03-2014,18,Wholesale,AXW291,24,11,11,3758.7,41345.7,2367.98
SO - 0002478,05-03-2014,32,Wholesale,GUT930,43,2,10,1011.7,10117,465.38
SO - 0002479,06-03-2014,39,Wholesale,GUT930,44,6,6,3155.7,18934.2,1704.08
SO - 0002480,06-03-2014,22,Export,AXW291,27,11,8,5922.8,47382.4,3257.54
SO - 0002481,06-03-2014,20,Wholesale,GUT930,32,3,6,2646.5,15879,1667.3
SO - 0002482,07-03-2014,10,Distributor,AXW291,21,1,10,911.2,9112,564.94
SO - 0002483,07-03-2014,19,Wholesale,NXH382,51,5,9,837.5,7537.5,502.5
SO - 0002484,07-03-2014,45,Distributor,FLR025,62,1,5,1340,6700,924.6
SO - 0002485,08-03-2014,21,Distributor,GUT930,38,2,9,2914.5,26230.5,2389.89
SO - 0002486,08-03-2014,5,Distributor,AXW291,9,5,7,1045.2,7316.4,721.19
SO - 0002487,09-03-2014,50,Distributor,AXW291,18,11,6,3859.2,23155.2,1968.19
SO - 0002488,09-03-2014,23,Distributor,NXH382,59,7,10,6070.2,60702,4552.65
SO - 0002489,09-03-2014,37,Wholesale,GUT930,44,14,5,1031.8,5159,484.95
SO - 0002490,09-03-2014,15,Wholesale,AXW291,24,11,10,1279.7,12797,678.24
SO - 0002491,09-03-2014,11,Wholesale,AXW291,26,13,8,1051.9,8415.2,610.1
SO - 0002492,10-03-2014,31,Export,AXW291,23,2,5,2224.4,11122,1201.18
SO - 0002493,11-03-2014,49,Wholesale,FLR025,64,7,12,911.2,10934.4,674.29
SO - 0002494,11-03-2014,37,Wholesale,GUT930,42,4,6,1072,6432,450.24
SO - 0002495,11-03-2014,39,Wholesale,AXW291,20,2,5,1748.7,8743.5,1381.47
SO - 0002496,11-03-2014,28,Distributor,NXH382,48,7,6,2532.6,15195.6,2102.06
SO - 0002497,11-03-2014,32,Wholesale,NXH382,57,14,9,1976.5,17788.5,849.9
SO - 0002498,11-03-2014,30,Wholesale,AXW291,7,7,9,1909.5,17185.5,1413.03
SO - 0002499,12-03-2014,35,Wholesale,GUT930,39,1,10,1092.1,10921,917.36
SO - 0002500,12-03-2014,25,Distributor,FLR025,62,3,6,1018.4,6110.4,519.38
SO - 0002501,12-03-2014,4,Distributor,AXW291,8,7,10,844.2,8442,574.06
SO - 0002502,12-03-2014,42,Distributor,NXH382,54,7,9,6432,57888,2637.12
SO - 0002503,12-03-2014,37,Wholesale,AXW291,15,11,8,1125.6,9004.8,765.41
SO - 0002504,12-03-2014,22,Export,FLR025,66,7,11,1976.5,21741.5,790.6
SO - 0002505,12-03-2014,18,Wholesale,AXW291,22,7,11,1125.6,12381.6,607.82
SO - 0002506,12-03-2014,44,Export,AXW291,22,12,12,1949.7,23396.4,896.86
SO - 0002507,12-03-2014,7,Wholesale,GUT930,35,7,5,2345,11725,1876
SO - 0002508,12-03-2014,48,Distributor,NXH382,48,12,8,1802.3,14418.4,1279.63
SO - 0002509,13-03-2014,41,Distributor,GUT930,37,8,10,214.4,2144,105.06
SO - 0002510,13-03-2014,34,Wholesale,GUT930,45,7,8,3008.3,24066.4,1263.49
SO - 0002511,13-03-2014,28,Wholesale,GUT930,36,7,7,1165.8,8160.6,827.72
SO - 0002512,13-03-2014,22,Distributor,NXH382,50,7,5,1031.8,5159,412.72
SO - 0002513,13-03-2014,21,Export,AXW291,28,1,8,1882.7,15061.6,1016.66
SO - 0002514,14-03-2014,1,Wholesale,AXW291,28,13,12,1018.4,12220.8,743.43
SO - 0002515,14-03-2014,14,Distributor,GUT930,41,1,8,3832.4,30659.2,3027.6
SO - 0002516,14-03-2014,17,Wholesale,NXH382,58,14,9,5299.7,47697.3,2172.88
SO - 0002517,14-03-2014,39,Export,AXW291,11,1,7,3839.1,26873.7,2917.72
SO - 0002518,14-03-2014,48,Distributor,AXW291,5,7,7,991.6,6941.2,763.53
SO - 0002519,14-03-2014,31,Distributor,AXW291,17,1,9,234.5,2110.5,136.01
SO - 0002520,15-03-2014,48,Wholesale,GUT930,32,7,6,1098.8,6592.8,604.34
SO - 0002521,15-03-2014,5,Wholesale,AXW291,13,3,10,221.1,2211,117.18
SO - 0002522,15-03-2014,33,Wholesale,NXH382,52,11,12,207.7,2492.4,110.08
SO - 0002523,16-03-2014,37,Export,AXW291,6,2,5,3999.9,19999.5,1639.96
SO - 0002524,16-03-2014,13,Wholesale,AXW291,23,7,9,2552.7,22974.3,1455.04
SO - 0002525,16-03-2014,30,Wholesale,NXH382,48,13,5,3966.4,19832,2816.14
SO - 0002526,16-03-2014,17,Wholesale,AXW291,10,6,5,1118.9,5594.5,850.36
SO - 0002527,16-03-2014,23,Wholesale,AXW291,24,1,5,1145.7,5728.5,905.1
SO - 0002528,17-03-2014,50,Distributor,GUT930,42,11,5,2606.3,13031.5,1407.4
